"","col","d14"
"AT1G01010",4.32045693152508,5.12591818009401
"AT1G01040",12.9613707945752,20.503672720376
"AT1G01050",56.165940109826,56.3850999810341
"AT1G01080",64.8068539728762,117.896118142162
"AT1G01090",168.497820329478,271.673663544983
"AT1G01100",103.690966356602,128.14795450235
"AT1G01120",77.7682247674514,92.2665272416922
"AT1G01140",73.4477678359263,56.3850999810341
"AT1G01160",21.6022846576254,10.251836360188
"AT1G01170",17.2818277261003,25.62959090047
"AT1G01180",12.9613707945752,5.12591818009401
"AT1G01190",8.64091386305016,5.12591818009401
"AT1G01220",25.9227415891505,25.62959090047
"AT1G01230",38.8841123837257,5.12591818009401
"AT1G01240",12.9613707945752,10.251836360188
"AT1G01250",8.64091386305016,5.12591818009401
"AT1G01260",12.9613707945752,5.12591818009401
"AT1G01290",8.64091386305016,10.251836360188
"AT1G01300",90.7295955620266,51.2591818009401
"AT1G01320",371.559296111157,451.080799848273
"AT1G01350",17.2818277261003,10.251836360188
"AT1G01360",12.9613707945752,15.377754540282
"AT1G01390",8.64091386305016,10.251836360188
"AT1G01430",12.9613707945752,25.62959090047
"AT1G01440",4.32045693152508,30.7555090805641
"AT1G01470",86.4091386305016,112.770199962068
"AT1G01490",60.4863970413511,71.7628545213161
"AT1G01500",17.2818277261003,15.377754540282
"AT1G01510",8.64091386305016,30.7555090805641
"AT1G01540",51.8454831783009,56.3850999810341
"AT1G01550",159.856906466428,210.162645383854
"AT1G01600",21.6022846576254,35.8814272606581
"AT1G01610",38.8841123837257,87.1406090615982
"AT1G01620",362.918382248107,281.925499905171
"AT1G01630",43.2045693152508,61.5110181611281
"AT1G01650",43.2045693152508,46.1332636208461
"AT1G01710",38.8841123837257,15.377754540282
"AT1G01720",12.9613707945752,30.7555090805641
"AT1G01730",12.9613707945752,10.251836360188
"AT1G01790",90.7295955620266,66.6369363412221
"AT1G01800",90.7295955620266,102.51836360188
"AT1G01820",51.8454831783009,56.3850999810341
"AT1G01830",34.5636554522006,20.503672720376
"AT1G01840",4.32045693152508,5.12591818009401
"AT1G01860",8.64091386305016,15.377754540282
"AT1G01900",34.5636554522006,87.1406090615982
"AT1G01910",34.5636554522006,30.7555090805641
"AT1G01920",8.64091386305016,5.12591818009401
"AT1G01930",8.64091386305016,5.12591818009401
"AT1G01940",30.2431985206755,20.503672720376
"AT1G01950",17.2818277261003,35.8814272606581
"AT1G01960",142.575078740328,128.14795450235
"AT1G01970",4.32045693152508,10.251836360188
"AT1G02000",17.2818277261003,10.251836360188
"AT1G02020",17.2818277261003,20.503672720376
"AT1G02050",8.64091386305016,10.251836360188
"AT1G02080",129.613707945752,97.3924454217862
"AT1G02090",30.2431985206755,46.1332636208461
"AT1G02100",4.32045693152508,25.62959090047
"AT1G02110",4.32045693152508,5.12591818009401
"AT1G02120",60.4863970413511,41.0073454407521
"AT1G02130",17.2818277261003,25.62959090047
"AT1G02140",47.5250262467759,66.6369363412221
"AT1G02145",12.9613707945752,5.12591818009401
"AT1G02150",90.7295955620266,76.8887727014101
"AT1G02160",17.2818277261003,5.12591818009401
"AT1G02170",12.9613707945752,30.7555090805641
"AT1G02190",17.2818277261003,10.251836360188
"AT1G02205",224.663760439304,256.2959090047
"AT1G02260",4.32045693152508,15.377754540282
"AT1G02270",12.9613707945752,10.251836360188
"AT1G02280",25.9227415891505,51.2591818009401
"AT1G02305",194.420561918629,220.414481744042
"AT1G02330",4.32045693152508,30.7555090805641
"AT1G02335",21.6022846576254,25.62959090047
"AT1G02360",8.64091386305016,15.377754540282
"AT1G02370",25.9227415891505,41.0073454407521
"AT1G02410",4.32045693152508,10.251836360188
"AT1G02420",4.32045693152508,5.12591818009401
"AT1G02460",4.32045693152508,5.12591818009401
"AT1G02475",34.5636554522006,41.0073454407521
"AT1G02500",328.354726795906,251.169990824606
"AT1G02560",380.200209974207,297.303254445453
"AT1G02630",8.64091386305016,5.12591818009401
"AT1G02640",47.5250262467759,35.8814272606581
"AT1G02690",17.2818277261003,25.62959090047
"AT1G02730",82.0886816989765,46.1332636208461
"AT1G02780",479.570719399284,512.591818009401
"AT1G02816",17.2818277261003,5.12591818009401
"AT1G02840",108.011423288127,41.0073454407521
"AT1G02850",43.2045693152508,92.2665272416922
"AT1G02860",8.64091386305016,15.377754540282
"AT1G02870",25.9227415891505,25.62959090047
"AT1G02880",8.64091386305016,5.12591818009401
"AT1G02890",82.0886816989765,76.8887727014101
"AT1G02910",38.8841123837257,35.8814272606581
"AT1G02920",95.0500524935517,66.6369363412221
"AT1G02930",168.497820329478,82.0146908815042
"AT1G02990",8.64091386305016,15.377754540282
"AT1G03000",30.2431985206755,20.503672720376
"AT1G03030",34.5636554522006,20.503672720376
"AT1G03040",43.2045693152508,56.3850999810341
"AT1G03060",86.4091386305016,51.2591818009401
"AT1G03080",82.0886816989765,76.8887727014101
"AT1G03090",30.2431985206755,25.62959090047
"AT1G03110",25.9227415891505,10.251836360188
"AT1G03130",172.818277261003,271.673663544983
"AT1G03140",30.2431985206755,41.0073454407521
"AT1G03160",73.4477678359263,41.0073454407521
"AT1G03170",4.32045693152508,5.12591818009401
"AT1G03190",4.32045693152508,15.377754540282
"AT1G03220",34.5636554522006,30.7555090805641
"AT1G03230",30.2431985206755,35.8814272606581
"AT1G03250",56.165940109826,41.0073454407521
"AT1G03280",34.5636554522006,25.62959090047
"AT1G03290",47.5250262467759,35.8814272606581
"AT1G03300",4.32045693152508,5.12591818009401
"AT1G03310",34.5636554522006,30.7555090805641
"AT1G03330",8.64091386305016,10.251836360188
"AT1G03350",30.2431985206755,76.8887727014101
"AT1G03360",8.64091386305016,20.503672720376
"AT1G03365",12.9613707945752,5.12591818009401
"AT1G03370",60.4863970413511,66.6369363412221
"AT1G03380",12.9613707945752,15.377754540282
"AT1G03400",64.8068539728762,25.62959090047
"AT1G03410",4.32045693152508,5.12591818009401
"AT1G03430",8.64091386305016,5.12591818009401
"AT1G03475",380.200209974207,276.799581725077
"AT1G03530",38.8841123837257,10.251836360188
"AT1G03590",17.2818277261003,15.377754540282
"AT1G03600",146.895535671853,205.03672720376
"AT1G03630",349.957011453531,292.177336265359
"AT1G03680",228.984217370829,399.821618047333
"AT1G03687",21.6022846576254,10.251836360188
"AT1G03740",4.32045693152508,25.62959090047
"AT1G03750",17.2818277261003,5.12591818009401
"AT1G03760",12.9613707945752,15.377754540282
"AT1G03780",12.9613707945752,5.12591818009401
"AT1G03820",30.2431985206755,46.1332636208461
