mRNA_log2FC	RPF_log2FC	log2FC_TE_v1	pvalue_v1	control_log2TE	treat_log2TE	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust	colorscale	category
ENSMUSG00000030662	0.0717366454541147	0.132089842605386	0.065125478675828	0.999918027691331	1.99956570930616	2.05992582288327	0.0620846054004403	0.863339918193087	0.065125478675828	0.999918027691331	0.999918027691331	0	stable
ENSMUSG00000024206	-0.918838819064176	-0.280781192983501	0	0.999838191911997	-1.65823097318338	-1.02016521916028	0.584775103873994	0.722815887826741	0	0.999838191911997	0.999918027691331	3.01094110324831e-06	stable
ENSMUSG00000023832	-1.4589404044028	-0.13077470394987	0.326855020721169	0.999107177123607	-0.255975753267547	1.07219839815094	1.29758924642622	0.301022741076262	0.326855020721169	0.999107177123607	0.999649727857858	3.05917503329087e-05	transcription_only
ENSMUSG00000021670	0.0102516581893527	0.650328435570931	0.18202209887626	0.9990739639088	3.99373745503513	4.63381828116832	0.643850316407062	0.0414400772551364	0.18202209887626	0.9990739639088	0.999649727857858	3.18453469337259e-05	stable
ENSMUSG00000033124	-0.324054411431065	0.658161630224194	0.265247463505155	0.998802832480374	1.09881205076772	2.08103386199838	0.975281932570565	0.181937084896212	0.265247463505155	0.998802832480374	0.999649727857858	4.20804662321078e-05	stable
ENSMUSG00000032575	0.290861465188438	0.366685232335275	0.0903661899571055	0.998646721733989	-0.141882073244544	-0.0660550722916348	0.0692967777806395	0.90442057009391	0.0903661899571055	0.998646721733989	0.999649727857858	4.79748543445982e-05	stable
ENSMUSG00000027201	-0.845290398383351	-0.813101665481479	0	0.767533608795321	-5.31716088281644	-5.28497089721071	0	0.998399687727234	0	0.998399687727234	0.999649727857858	5.73041817452594e-05	stable
ENSMUSG00000027506	0.138833345177717	0.226611074570947	0.131018796525922	0.998185784919128	-0.111488981458208	-0.0237078056075079	0.0945579014289812	0.908359201223285	0.131018796525922	0.998185784919128	0.999649727857858	6.53841625326562e-05	stable
ENSMUSG00000004071	-0.484689957982376	-0.535637502535224	0	0.99814215249024	-2.90616770668529	-2.95711398035833	-0.0695204667404141	0.934897984865492	0	0.99814215249024	0.999649727857858	6.70325498043004e-05	stable
ENSMUSG00000022400	0.706674384832441	0.906856075782527	0.219820001692639	0.997456358134376	0.622977682409183	0.823161410312516	0.217418520888308	0.813246058856339	0.219820001692639	0.997456358134376	0.999649727857858	9.29506103306669e-05	stable
ENSMUSG00000030612	0.932178784566149	1.06547995121324	0.162295596763414	0.997427655838165	0.967674262908831	1.10097560595976	0.131798305020275	0.845440146910629	0.162295596763414	0.997427655838165	0.999649727857858	9.40357377544099e-05	stable
ENSMUSG00000026923	-1.4589404044028	0.017136630165666	0.326802879914482	0.997314898419307	5.41741524526079	6.89349431581809	1.47631407234932	2.03095592065364e-06	0.326802879914482	0.997314898419307	0.999649727857858	9.8298980099144e-05	transcription_only
ENSMUSG00000024581	0.122809014741557	0.314776157291539	0.284276243385932	0.99730939199659	0.44590328593581	0.637874981099323	0.193761648429083	0.850753125353527	0.284276243385932	0.99730939199659	0.999649727857858	9.85071846375227e-05	stable
ENSMUSG00000029767	-0.174000748346372	-0.124433232588806	0.0683178854011572	0.997304384498395	1.38874670967269	1.43831729049824	0.053301154058186	0.898720621427495	0.0683178854011572	0.997304384498395	0.999649727857858	9.86965252311667e-05	stable
ENSMUSG00000020152	-0.15140497219859	-0.100919838166154	0.0629133985325652	0.997191110743456	1.78860075530295	1.83908884224751	0.0531560846062737	0.8815086692001	0.0629133985325652	0.997191110743456	0.999649727857858	0.000102979820221367	stable
ENSMUSG00000031732	-1.4589404044028	-0.441123080866053	0	0.997048225284717	-1.98986414609969	-0.972036390991892	1.02811725603156	0.69501301752636	0	0.997048225284717	0.999649727857858	0.000108383536060934	transcription_only
ENSMUSG00000013415	0.0676729294594622	0.0809997302034442	0	0.996780686149226	-0.727331731412673	-0.714002086178213	0	0.978505302138236	0	0.996780686149226	0.999649727857858	0.000118503551616786	stable
ENSMUSG00000005506	-0.284233385699547	-0.222978670301986	0.129590845560962	0.996414429849061	1.77579624465835	1.83705536129627	0.0555005370035553	0.896929863220417	0.129590845560962	0.996414429849061	0.999649727857858	0.000132362077643035	stable
ENSMUSG00000032262	0.91661054800922	1.09459821601706	0.158936924592602	0.996070286272234	6.25308233325739	6.43108215753851	0.179297291844559	0.473144483992623	0.158936924592602	0.996070286272234	0.999649727857858	0.00014538853796781	stable
ENSMUSG00000037533	0.104040155604333	0.871847831074319	0.437172788139073	0.995549287666421	0.892072004521182	1.65988286413005	0.778516274641734	0.276598618823384	0.437172788139073	0.995549287666421	0.999649727857858	0.000165117849584078	stable
ENSMUSG00000043702	0.974718830425484	1.07399660597143	0.11261188966521	0.99553457512474	1.89013744200649	1.98941702719141	0.100094331012492	0.822033898668074	0.11261188966521	0.99553457512474	0.999649727857858	0.000165675137852754	stable
ENSMUSG00000026181	-1.6266300461775	-0.835511697539805	-0.269660779127761	0.995484411675234	-2.21701302880763	-1.42588782339681	0.727300676292522	0.791749248995514	-0.269660779127761	0.995484411675234	0.999649727857858	0.000167575313461406	stable
ENSMUSG00000056820	-0.0879517551736601	0.0218288566331472	0.246556336948757	0.994947399834207	1.14643209997785	1.25621701403232	0.0970263811232863	0.890682654888745	0.246556336948757	0.994947399834207	0.999649727857858	0.000187923153539398	stable
ENSMUSG00000034570	1.77990387086889	1.06551757401244	-0.797826599192881	0.994797756975085	-3.87994254877607	-4.5943065766549	-0.428743107135006	0.852692136111291	-0.797826599192881	0.994797756975085	0.999649727857858	0.000193595206655796	stable
ENSMUSG00000061288	0.637165617378536	0.581749825104973	0	0.994403647697501	-2.43478005819546	-2.49019298819139	-0.0995549678978946	0.953361904414479	0	0.994403647697501	0.999649727857858	0.000208537582440888	stable
ENSMUSG00000052415	0.0102516581893527	0.619614933390808	0.18199135462983	0.994182202373591	1.02513279468917	1.63449955083281	0.620855023927517	0.404124024572088	0.18199135462983	0.994182202373591	0.999649727857858	0.000216936124825177	stable
ENSMUSG00000004264	0.00569874640514788	0.076293663087552	0.0745451400567383	0.994103309685608	1.19664822067596	1.26724534132326	0.0664900727966806	0.864233040384252	0.0745451400567383	0.994103309685608	0.999649727857858	0.000219928663369161	stable
ENSMUSG00000041417	-1.6266300461775	-0.365893310216966	0.269730467203161	0.994088641678839	2.23893996013998	3.49968236891864	1.26129549133217	0.0282914415905912	0.269730467203161	0.994088641678839	0.999649727857858	0.000220485072870729	transcription_only
ENSMUSG00000041444	-0.0889416208317955	-0.00680904636818208	0.131013145720182	0.993995802855994	1.93683379493795	2.01897046028905	0.0833761961882948	0.863322470746173	0.131013145720182	0.993995802855994	0.999649727857858	0.000224006969018171	stable
ENSMUSG00000027379	-1.6266300461775	-0.433500011449861	0.26966279282756	0.993951956328275	0.879364784733807	2.07250165593812	1.1941333344402	0.164896580970535	0.26966279282756	0.993951956328275	0.999649727857858	0.000225670427578803	transcription_only
ENSMUSG00000058655	-0.385989172194208	-0.358008601774669	0.053081061632053	0.993877883262141	0.640321501505386	0.668304541621269	0.0240800461263579	0.944260864638682	0.053081061632053	0.993877883262141	0.999649727857858	0.000228480793456755	stable
ENSMUSG00000055436	-0.757389880665707	-0.267895257926144	0.148237732355099	0.993740542210915	1.16723383185082	1.65673337324774	0.482051040951683	0.472171049944716	0.148237732355099	0.993740542210915	0.999649727857858	0.000233692129768504	stable
ENSMUSG00000037656	-1.4589404044028	-0.0523793013659214	0.326733294397428	0.992392381028752	1.40995264262371	2.81652093428617	1.40538634726368	0.0530220384401302	0.326733294397428	0.992392381028752	0.999649727857858	0.000284885688615451	transcription_only
ENSMUSG00000036180	-0.2683061948067	-0.131786951793789	0.186923442685703	0.992362375086951	2.06531383633459	2.20183856516069	0.129157880439875	0.785070925581176	0.186923442685703	0.992362375086951	0.999649727857858	0.00028602589156084	stable
ENSMUSG00000038453	-0.041205117568852	0.00320496543764706	0.0995439540370455	0.992134514209885	-0.158262810759889	-0.113850202140602	0.0284728854941134	0.946498543913079	0.0995439540370455	0.992134514209885	0.999649727857858	0.000294685556556249	stable
ENSMUSG00000022601	-6.13542333802599	-1.30936782077395	0	0.992019787353087	-0.348926390072481	4.47711967506062	4.78740969375114	0.000166289461924627	0	0.992019787353087	0.999649727857858	0.000299046409082784	homodirectional
ENSMUSG00000051557	0.917146327942848	0.725521392651132	-0.172964589524817	0.991768577109206	-3.44215936159766	-3.63377268554887	-0.178369983307256	0.913876707223355	-0.172964589524817	0.991768577109206	0.999649727857858	0.000308596857341596	stable
ENSMUSG00000011256	0.391766107654868	0.374462685661585	0	0.991646726915498	-1.53838142333925	-1.5556815787591	0	0.968827918819298	0	0.991646726915498	0.999649727857858	0.00031323019885007	stable
ENSMUSG00000033004	0.137340300658817	0.323035793528086	0.200986682175042	0.99164139720486	3.3272622031798	3.51299040227701	0.187130237821571	0.640034020986959	0.200986682175042	0.99164139720486	0.999649727857858	0.000313432873563086	stable
ENSMUSG00000039942	-0.298138004380787	-0.329338551635484	0	0.991553804272574	-2.15683931612926	-2.18803592310664	-0.12835955616314	0.940211103380073	0	0.991553804272574	0.999649727857858	0.000316763955762986	stable
ENSMUSG00000038650	-0.0879517551736601	0.0527329235353921	0.246587271950659	0.991245975750613	5.10460589696328	5.24530134770843	0.13895286187678	0.629657153693191	0.246587271950659	0.991245975750613	0.999649727857858	0.000328472738453307	stable
ENSMUSG00000021374	0.0183227696136297	0.117859056729072	0.119018554841958	0.991105719989654	1.31612374657662	1.41566379896041	0.094291531846149	0.849444998944651	0.119018554841958	0.991105719989654	0.999649727857858	0.000333808811303843	stable
ENSMUSG00000024271	-1.4589404044028	-0.0310010392475647	0.326754694059204	0.990925552512623	2.66984082206417	4.09778597547376	1.43228268833611	0.00340090224550491	0.326754694059204	0.990925552512623	0.999649727857858	0.000340664445603001	transcription_only
ENSMUSG00000032009	-0.902309152407434	-0.508946496011799	0	0.990650027832654	-1.6436648223042	-1.25029795506322	0.366740207676642	0.803262237295999	0	0.990650027832654	0.999649727857858	0.000351150971049191	stable
ENSMUSG00000039367	0.14697139998072	0.336439602514979	0.160149617820359	0.990579064655379	2.58672027615763	2.77619241130356	0.187197696128755	0.638794077556676	0.160149617820359	0.990579064655379	0.999649727857858	0.000353852316358802	stable
ENSMUSG00000032116	-1.4589404044028	0.0396478273442635	0.326825413645381	0.990416487492282	4.59428860033059	6.09287989819999	1.49724931774276	1.73044935319499e-06	0.326825413645381	0.990416487492282	0.999649727857858	0.000360041848020147	transcription_only
ENSMUSG00000053841	-0.409040474797719	-0.314984072764605	0.163057113515549	0.990233514887875	2.11998895339719	2.21405105112626	0.0882526252115858	0.85083326806235	0.163057113515549	0.990233514887875	0.999649727857858	0.00036700907692818	stable
ENSMUSG00000025580	-0.390064401894041	-0.299992922369426	0.162652724203731	0.990158192393802	1.69167730875077	1.78175381323519	0.0825329154378598	0.867923267313109	0.162652724203731	0.990158192393802	0.999649727857858	0.000369877580138672	stable
ENSMUSG00000062352	0.841901201458749	0.778197608991161	0	0.989964072393886	-2.34755085503536	-2.41124919600375	0	0.95427909584816	0	0.989964072393886	0.999649727857858	0.000377271249476991	stable
ENSMUSG00000020464	-5.59474150613131	-0.293356372725835	0.377679064197594	0.98995869163159	0.501951240601628	5.80331270274861	5.28278291785345	1.76883091725316e-07	0.377679064197594	0.98995869163159	0.999649727857858	0.000377476213343484	transcription_only
ENSMUSG00000028959	-0.757559282003366	-0.850300984827928	0	0.989827680894001	-3.28042625697246	-3.37316658621618	-0.117209950279523	0.907348786238815	0	0.989827680894001	0.999649727857858	0.000382467014982864	stable
