"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000215022",1.75054736381073,3.78629554554082,5.85094031461744,5.81326848619221e-06,0.139657962112282,3.6934399899067
"ENSG00000183625",1.54129827313774,3.6500822934196,5.35465712224793,1.94586984532946e-05,0.159083488746447,2.67707865790809
"ENSG00000262074",2.57700432589539,2.22851115954303,5.24561201324178,2.54445059076059e-05,0.159083488746447,2.21015271619797
"ENSG00000222675",2.2712301548249,-1.72168246069858,5.22930952749593,2.64874273637107e-05,0.159083488746447,0.494022762411952
"ENSG00000107593",2.14064615700783,-1.21597365447085,4.96621101471155,5.07681973082914e-05,0.243931034426879,0.362368835173735
"ENSG00000169429",1.7656425403457,9.259948173869,4.88690011083959,6.18139206903282e-05,0.247502938444074,1.80982160735347
"ENSG00000212195",2.65098372885272,1.43919747754908,4.76711900098426,8.32576675182133e-05,0.285740314922508,1.04514370875989
"ENSG00000229436",-2.04053220767087,1.36482990482878,-4.62529505217411,0.000118528633977107,0.333461188408428,0.336269222239605
"ENSG00000231890",1.58333654061008,2.9566866369242,4.60421396735911,0.00012492302263053,0.333461188408428,1.03949526981958
"ENSG00000286408",1.77590047066126,0.631764804499665,4.46609352695725,0.000176285393410584,0.368376296313325,0.252420566505393
"ENSG00000224852",2.01891693571928,1.92199223409726,4.44750727723726,0.00018464970768609,0.368376296313325,0.559369792077804
"ENSG00000180209",1.36359127719323,0.725182013944582,4.40715678647694,0.000204200065829387,0.368376296313325,0.145812656841408
"ENSG00000170315",0.759156955028893,3.9723792661831,4.35573672000934,0.000232140041638935,0.368376296313325,0.587553093563216
"ENSG00000172602",1.99030099775328,0.302561804180149,4.3516330654846,0.000234527873982955,0.368376296313325,-0.0637198207273597
"ENSG00000199477",1.94580851587235,-1.35526474249624,4.32835410522891,0.000248545009659907,0.368376296313325,-0.645213608382736
"ENSG00000181418",2.33647431245196,0.208775931628665,4.30652711076486,0.000262446407556964,0.368376296313325,-0.115724659596719
"ENSG00000279373",1.81404804876208,-1.60784045043064,4.30451937502795,0.000263763432930389,0.368376296313325,-0.746957739589981
"ENSG00000260078",1.54071099540398,3.9515820345915,4.27243478733675,0.000285727231992016,0.368376296313325,0.41424061356918
"ENSG00000262766",0.932287727907424,2.56876845828916,4.24756092888791,0.000304001832795255,0.368376296313325,0.232785946932546
"ENSG00000272735",1.76461214038873,2.1355612722062,4.21840666656408,0.000326908806069155,0.368376296313325,0.146357216784965
"ENSG00000272831",1.91370870875145,-1.29636317597962,4.21677858018566,0.000328237544215238,0.368376296313325,-0.749790885467922
"ENSG00000260898",1.70095077850178,4.17866739737789,4.20579775733088,0.000337340930689858,0.368376296313325,0.278887089943018
"ENSG00000188536",2.27372747776675,5.44997186316702,4.16558640691006,0.00037287521004081,0.382046738776599,0.207619080948315
"ENSG00000268658",2.36959579895449,3.20348652095394,4.15622846957372,0.000381665073702896,0.382046738776599,0.135780254656747
"ENSG00000208028",2.31873392084378,2.17446670023012,4.10162966960566,0.000437214537486652,0.382609722910391,-0.0729671604590454
"ENSG00000198258",0.55040627585531,4.58819191897312,4.09596641399633,0.000443417483378564,0.382609722910391,0.0452831187779514
"ENSG00000287510",1.76485983365483,0.837270887215219,4.05992495208871,0.000484993512473915,0.382609722910391,-0.422142260856508
"ENSG00000268403",1.99389524844159,-0.169720963487359,4.0500612474815,0.00049703148544923,0.382609722910391,-0.705420100701645
"ENSG00000287384",2.07237269455176,-1.0273584267088,4.04587312529446,0.000502232051341827,0.382609722910391,-0.945022317607716
"ENSG00000246089",1.92010501204481,-0.118294651316445,4.04477899920056,0.000503599545994676,0.382609722910391,-0.673770025128217
"ENSG00000161960",0.72393345050198,5.22147455087257,4.04364884923023,0.000505015944330295,0.382609722910391,-0.0618397488455731
"ENSG00000197013",1.11315864761204,4.56386169666008,4.03998370518912,0.000509636660553301,0.382609722910391,-0.0748459350267972
"ENSG00000268240",2.25450973766285,4.46997216030558,4.02364314668622,0.000530753146867445,0.3863882909195,-0.110189985474333
"ENSG00000175352",1.43662735619054,1.17311077219795,3.98126391506744,0.00058964817139018,0.41663846086699,-0.505314907544891
"ENSG00000265185",1.54531420164489,3.81793389815939,3.94529649321355,0.000644680693403929,0.442508827952457,-0.291474068080743
"ENSG00000175485",2.72474075077373,-1.23074341145838,3.92077346902181,0.000685088042129669,0.449445605302097,-1.09717628063508
"ENSG00000273702",2.16509523348607,0.494605956833226,3.91660406366065,0.000692203105068997,0.449445605302097,-0.734407926166653
"ENSG00000232772",2.23080828133784,0.789000736899031,3.9004527479131,0.000720461912913356,0.455483605153433,-0.697538444822887
"ENSG00000280303",1.21217082364571,0.0499194449509665,3.8756889833802,0.00076601932759651,0.470365421949838,-0.974790463988214
"ENSG00000105732",1.05682542657244,4.09559583751236,3.86401161972703,0.000788478646326219,0.470365421949838,-0.461433081040595
"ENSG00000244734",2.00601314427135,8.03980340557783,3.85249754994193,0.000811260605766831,0.470365421949838,-0.481586546124692
"ENSG00000264371",2.0352281672484,-1.66836879972763,3.84702416096847,0.000822317171240976,0.470365421949838,-1.39751579607725
"ENSG00000267637",1.78914072062758,-0.172668966692864,3.82880437302869,0.000860205205546595,0.476228608053738,-1.07303108549018
"ENSG00000203697",-1.90346162492503,-1.00118869284034,-3.79120560307252,0.000943921306795093,0.476228608053738,-1.58112571928868
"ENSG00000243176",1.33802969186449,3.8182028433986,3.78699799377805,0.000953775804402872,0.476228608053738,-0.629214123560296
"ENSG00000271933",0.721556527753583,3.45466133232673,3.78688939209874,0.000954031495079464,0.476228608053738,-0.64305348020261
