GeneId	mRNA_log2FC	RPF_log2FC	log2FC_TE_v1	pvalue_v1	control_log2TE	treat_log2TE	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust	colorscale	category
ENSMUSG00000038056	2.09542521366466	0.98218281198057	-1.07899223463642	0.897289424970876	-3.52457604061649	-4.63775562155669	-1.08119437395499	0.865663592131765	-1.07899223463642	0.897289424970876	0.999542254619838	0.000619773330244868	transcription_only
ENSMUSG00000029161	1.16944001866344	-0.811306224064592	-2.09700073194552	0.797536214859393	-5.65709065211249	-7.63783600579905	-2.11301674351188	0.605198901830772	-2.09700073194552	0.797536214859393	0.999542254619838	0.00129658717330053	transcription_only
ENSMUSG00000020894	7.27480722287617	0.245252552730267	-6.79743387123277	0.480671842548495	1.97677704612395	-5.05280962846156	-6.85989658998704	0.386611268847803	-6.79743387123277	0.480671842548495	0.973243288100816	0.00420448718137303	transcription_only
ENSMUSG00000028582	1.83240364012621	0.454719085357779	-1.25970349537876	0.413379932056365	-0.787695746726058	-2.1653757381498	-1.37061349335614	0.358289143721032	-1.25970349537876	0.413379932056365	0.903966258208893	0.00507062585634874	transcription_only
ENSMUSG00000032228	1.51047719006642	0.449267109481433	-0.934779619942276	0.360125926951888	2.31663131116632	1.25542951413454	-1.06789081481	0.0381313406091234	-0.934779619942276	0.360125926951888	0.835752258678544	0.00586265542169119	transcription_only
ENSMUSG00000034993	1.09544361014608	0.0337041148614815	-1.05003525373957	0.358683425891728	4.28803296001751	3.22630870716322	-1.05778814699522	0.000816434117268875	-1.05003525373957	0.358683425891728	0.833838558554499	0.00588570527325875	transcription_only
ENSMUSG00000078786	1.14790791098012	-0.280801270505036	-1.34580515205583	0.348693894175896	-2.52466563659223	-3.95337332619514	-1.41290093165491	0.329433499521537	-1.34580515205583	0.348693894175896	0.816240087060489	0.00604791914860065	transcription_only
ENSMUSG00000034875	6.85970806648394	0.304150033015527	-6.14498945372168	0.325074008862543	2.23978567264019	-4.31582862527236	-6.71627241539458	0.33111601929902	-6.71627241539458	0.33111601929902	0.794384120967159	0.00634497685226334	transcription_only
ENSMUSG00000039233	2.09543718262158	0.949063478143435	-1.1671381277636	0.321719594266949	0.934763326034696	-0.211607274473148	-1.13402796378562	0.119500414736724	-1.1671381277636	0.321719594266949	0.779462464027374	0.00651030771668243	transcription_only
ENSMUSG00000028670	1.51046736556419	0.506820667614394	-0.88809173843643	0.319066280910116	1.82110558887255	0.817478542395337	-1.00551795639719	0.232206310263235	-0.88809173843643	0.319066280910116	0.776519289609019	0.00655786786755985	transcription_only
ENSMUSG00000022898	2.09542521366466	0.89581563914644	-1.04023945860761	0.318556889778683	1.90159306714181	0.701991942193331	-1.19798042992766	0.112372190429064	-1.04023945860761	0.318556889778683	0.776519289609019	0.00656704384864683	transcription_only
ENSMUSG00000033565	1.51046736556419	0.478610782228736	-0.888119976559949	0.314499267548965	3.5449828111979	2.5131482847966	-1.03842601549559	0.0300530891267656	-0.888119976559949	0.314499267548965	0.770441637614216	0.00664066463462927	transcription_only
ENSMUSG00000038722	1.09544177866399	0.0428410853649981	-1.0833567630027	0.306201395381785	2.04771405388573	0.995119382816403	-1.05496773075844	0.0168714625665777	-1.0833567630027	0.306201395381785	0.75611854175246	0.00679422372586182	transcription_only
ENSMUSG00000006998	1.51046736556419	0.315608155700635	-0.888082942152067	0.30599184425599	5.44682905367468	4.25199593453982	-1.19764327867236	5.91712178725568e-05	-0.888082942152067	0.30599184425599	0.75611854175246	0.00679815530130945	transcription_only
ENSMUSG00000040022	9.52276299892041	0.830208058470368	-8.87777354270901	0.298791735186124	1.97680208857081	-6.71581968279479	-8.37898306609386	0.218435536707524	-8.87777354270901	0.298791735186124	0.743947318512315	0.00693490448173716	transcription_only
ENSMUSG00000020888	1.43832639325559	0.152156763888532	-1.25046002223895	0.258032773106553	-4.4671838728119	-5.7533540591547	-1.29250207598919	0.298405036247691	-1.29250207598919	0.298405036247691	0.743947318512315	0.00694234187451522	transcription_only
ENSMUSG00000052565	1.51046736556419	0.234457719318823	-0.888164173820115	0.289305597715381	5.27834239125736	4.00235957682663	-1.27664611984116	4.31448674703644e-05	-0.888164173820115	0.289305597715381	0.730435742033502	0.00712019065091914	transcription_only
ENSMUSG00000039183	2.09542521366466	0.742279661269841	-1.56082025691405	0.285146684188408	2.16648806619539	0.813352297469651	-1.34881814966085	0.0579374744729222	-1.56082025691405	0.285146684188408	0.724680697386548	0.00720334761927015	transcription_only
ENSMUSG00000018574	1.83240364012621	0.604885059672035	-1.26005268274593	0.284105758180975	2.29975700523952	1.07224435310947	-1.23466318801054	0.0146019937706277	-1.26005268274593	0.284105758180975	0.723397586160803	0.0072243505823654	transcription_only
ENSMUSG00000053565	1.51046736556419	0.232465762089454	-0.888166167771288	0.284005760817356	4.88326838679852	3.6052931920211	-1.27877149720783	0.000192427175363775	-0.888166167771288	0.284005760817356	0.723397586160803	0.00722637229808514	transcription_only
