GeneId	mRNA_log2FC	RPF_log2FC	log2FC_TE_v1	pvalue_v1	control_log2TE	treat_log2TE	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust	colorscale	category
ENSMUSG00000044465	-5.25396568993258	-1.01775714447073	0	0.984492197123251	-1.93967452896314	2.29654684198694	4.0761470248471	0.255967131941527	0	0.984492197123251	0.999542254619838	8.71289355671326e-05	homodirectional
ENSMUSG00000039262	-6.83888440742444	-1.64485657634584	0.490884912743809	0.974793785984492	1.00932217242251	6.20334906800777	5.19229015339097	6.66129340777059e-13	0.490884912743809	0.974793785984492	0.999542254619838	0.000143984298332584	homodirectional
ENSMUSG00000032348	-6.83888440742444	-1.83118679582172	0.490898596207813	0.973281274434769	1.90346694056746	6.91115096644463	5.00896817945093	9.38044876844677e-20	0.490898596207813	0.973281274434769	0.999542254619838	0.000152902108612709	homodirectional
ENSMUSG00000026005	-6.83888440742444	-1.88026431522552	0	0.970411514717706	0.53423953000971	5.49287314336466	4.94812266887243	1.05386098102478e-08	0	0.970411514717706	0.999542254619838	0.000169860449287657	homodirectional
ENSMUSG00000031154	-6.83888440742444	-1.91085292239597	0	0.960138540488683	0.760746981659738	5.68878861613953	4.93276438349329	6.88388431477593e-10	0	0.960138540488683	0.999542254619838	0.000230980592013441	homodirectional
ENSMUSG00000021662	-6.57581223120856	-1.37139883489666	0.687491905301584	0.952493023292387	-1.90795239845036	3.29651340891111	5.17335198427878	0.0197020053682918	0.687491905301584	0.952493023292387	0.999542254619838	0.000276894366043837	homodirectional
ENSMUSG00000027479	-6.57581223120856	-1.15035539356177	0.687512969807443	0.943485424702266	3.41784881282882	8.84325924413037	5.42399473415559	2.30067768717982e-46	0.687512969807443	0.943485424702266	0.999542254619838	0.000331463118340285	homodirectional
ENSMUSG00000021133	-6.57581223120856	-1.1848767818074	0.687478413863232	0.938387638965705	-0.431527810421274	4.95943501358428	5.38923129063523	1.98128800205275e-05	0.687478413863232	0.938387638965705	0.999542254619838	0.000362577232618368	homodirectional
ENSMUSG00000056429	-6.57581223120856	-1.15175803063602	0.687511565766329	0.926475975281361	1.38544211899549	6.80949003225088	5.41778166415148	6.06445547386023e-16	0.687511565766329	0.926475975281361	0.999542254619838	0.000435943492912169	homodirectional
ENSMUSG00000042851	-2.94893451665164	-1.01774303026736	3.56615973419363	0.159108527142438	-6.98384841224135	-5.05271395568642	1.18952065511175	0.924877438335269	1.18952065511175	0.924877438335269	0.999542254619838	0.000445860910115824	homodirectional
