sample	start_density	stop_density	start_lower_CI	start_upper_CI	stop_lower_CI	stop_upper_CI
7-111-R.toTranscriptome.sort	5.289365904334699	0.0856269870624469	3.6862710309677293	6.892460777701668	0.009117237108998671	0.16213673701589512
7-111-R.toTranscriptome.sort	0.7921032673082496	0.34521680732111315	0.42678036371511313	1.1574261709013862	0.16009654104569288	0.5303370735965334
7-111-R.toTranscriptome.sort	0.5209898679246909	0.23696337434989695	0.35745552219169835	0.6845242136576835	0.08297289308807221	0.3909538556117217
7-111-R.toTranscriptome.sort	0.9174696655070904	0.1681957011816491	0.6564897256740303	1.1784496053401505	0.03575702330139954	0.3006343790618986
7-111-R.toTranscriptome.sort	0.7826836608862056	0.10486389361737164	0.559554880373851	1.00581244139856	0.018669434891041725	0.19105835234370155
7-111-R.toTranscriptome.sort	0.32197927406259663	0.12016682473892899	0.1800553475684408	0.4639032005567525	0.03428890940242833	0.20604474007542967
7-111-R.toTranscriptome.sort	0.24902014068458272	0.16003854176912993	0.14627486559598543	0.35176541577318	0.017347073077668307	0.30273001046059156
7-111-R.toTranscriptome.sort	0.261179996247585	0.3530367051892845	0.14825055082231048	0.3741094416728595	0.12199268742486388	0.5840807229537051
7-111-R.toTranscriptome.sort	0.16338735502963678	0.18639020307183704	0.08513115070161935	0.2416435593576542	0.0560069730635534	0.3167734330801207
7-111-R.toTranscriptome.sort	0.24645115711493437	0.3582897413851482	0.12085505031704594	0.37204726391282283	0.15852611102996314	0.5580533717403332
7-111-R.toTranscriptome.sort	0.1782874597335974	0.16995755329266657	0.09342860535714849	0.2631463141100463	0.029460872587620868	0.31045423399771227
7-111-R.toTranscriptome.sort	0.19935312500471405	0.12566299811077505	0.10278148550847332	0.2959247645009548	0.025976396170225652	0.22534960005132446
7-111-R.toTranscriptome.sort	0.14317801761506957	0.2017626544217636	0.061698732006901805	0.22465730322323735	0.06913107068784688	0.33439423815568037
7-111-R.toTranscriptome.sort	0.19061858086790961	0.18376601562147094	0.09654083268017573	0.2846963290556435	0.06292029239215956	0.3046117388507823
7-111-R.toTranscriptome.sort	0.2695720092417697	0.23725731897432026	0.15627270247223174	0.3828713160113077	0.07166273196082837	0.4028519059878122
7-111-R.toTranscriptome.sort	0.2767651632367852	0.18354381044323817	0.15335330598327357	0.4001770204902968	0.04277342356759428	0.32431419731888206
7-111-R.toTranscriptome.sort	0.21819233784880218	0.2085678529863126	0.1205288192861785	0.3158558564114259	0.06279816358540052	0.3543375423872247
7-111-R.toTranscriptome.sort	0.20346349871615152	0.24664638522245547	0.10115386975526022	0.3057731276770428	0.09568619714846974	0.3976065732964412
7-111-R.toTranscriptome.sort	0.16766899431238408	0.05998820494475945	0.08556825046755462	0.24976973815721354	-0.0009191862592366762	0.12089559614875557
7-111-R.toTranscriptome.sort	0.27436744523844675	0.1668662200864919	0.14750533351620004	0.40122955696069346	0.032413036315860594	0.3013194038571232
7-111-R.toTranscriptome.sort	0.24953393739851243	0.2673743326059809	0.14146109673232588	0.357606778064699	0.10997428412286386	0.424774381089098
7-111-R.toTranscriptome.sort	0.27984794352036324	0.28227781911731625	0.16442527384912636	0.3952706131916001	0.10933370589789121	0.4552219323367413
7-111-R.toTranscriptome.sort	0.3915130960144127	0.3090451718385113	0.24619916789682275	0.5368270241320027	0.1210484644705477	0.4970418792064749
7-111-R.toTranscriptome.sort	0.5341773169155526	0.17582828028741618	0.35193861941548576	0.7164160144156194	0.05745076395828841	0.29420579661654395
7-111-R.toTranscriptome.sort	0.31632751020937017	0.22839667696690164	0.19777546381730993	0.4348795566014304	0.09593291510233129	0.360860438831472
7-111-R.toTranscriptome.sort	0.3452713917607419	0.19428908826430025	0.22035864561304752	0.4701841379084363	0.059373235671469154	0.32920494085713137
7-111-R.toTranscriptome.sort	0.2920077990833656	0.19833137681819638	0.18003218381989855	0.40398341434683266	0.0779177682252345	0.31874498541115825
7-111-R.toTranscriptome.sort	0.2978308285079019	0.2827943336593402	0.17369001153880553	0.4219716454769982	0.12090029108829328	0.44468837623038715
7-111-R.toTranscriptome.sort	0.32420572648962526	0.2640368145939309	0.19002026245861503	0.4583911905206355	0.0861601023963457	0.44191352679151613
7-111-R.toTranscriptome.sort	0.2986871563644513	0.15789509879450325	0.17644746997857563	0.420926842750327	0.053845409895738314	0.2619447876932682
7-111-R.toTranscriptome.sort	0.291322736798126	0.1701379010120502	0.17704155000455832	0.4056039235916936	0.06240508767082706	0.2778707143532734
7-111-R.toTranscriptome.sort	0.49804028136916545	0.23468041281236862	0.3448533452118503	0.6512272175264806	0.09139376156805068	0.37796706405668656
7-111-R.toTranscriptome.sort	0.4810849898094861	0.31836167344705385	0.3147558764223446	0.6474141031966276	0.1476910493681961	0.4890322975259116
7-111-R.toTranscriptome.sort	0.3415035491919243	0.17290296233245991	0.21403682685375622	0.4689702715300924	0.06621595666607545	0.2795899679988444
7-111-R.toTranscriptome.sort	0.2942342515103942	0.268978322626469	0.17962699172214808	0.40884151129864027	0.06368495905953311	0.4742716861934049
7-111-R.toTranscriptome.sort	0.31821143149377906	0.7980697929515146	0.19100340557439371	0.4454194574131644	-0.06925742890937703	1.6653970148124062
7-111-R.toTranscriptome.sort	0.31358726106841195	0.20508553301749236	0.19790936455709573	0.42926515757972816	0.07777491143676257	0.33239615459822214
7-111-R.toTranscriptome.sort	0.2567270913935279	0.291515909167097	0.1531099609257404	0.36034422186131543	0.009048219974426008	0.5739835983597681
7-111-R.toTranscriptome.sort	0.27693642880809505	0.21890693303285275	0.14877809221904945	0.4050947653971406	0.07516955056269672	0.3626443155030088
7-111-R.toTranscriptome.sort	0.2784778189498841	0.1705797542736953	0.16586208748859715	0.39109355041117105	0.06482334493441	0.2763361636129806
7-111-R.toTranscriptome.sort	0.4004189057225271	0.2584162302303026	0.2518347454290921	0.549003066015962	0.11132888215584924	0.4055035783047559
7-111-R.toTranscriptome.sort	0.40709826300361285	0.09159874535129284	0.27205478173814124	0.5421417442690845	0.005677131922460929	0.17752035878012473
7-111-R.toTranscriptome.sort	0.44529048540571875	0.17056925389400757	0.30485669501185986	0.5857242757995776	0.05540186314284411	0.285736644645171
7-111-R.toTranscriptome.sort	0.3226643363478362	0.20069405019910105	0.20238690092698625	0.44294177176868615	0.0522127269997513	0.34917537339845084
7-111-R.toTranscriptome.sort	0.33259773948380994	0.19326833597337228	0.21244139547004426	0.4527540834975756	0.06809571515669996	0.3184409567900446
7-111-R.toTranscriptome.sort	0.2831019893752512	0.1426822978983293	0.172241950148669	0.39396202860183344	0.051242898358435054	0.23412169743822359
7-111-R.toTranscriptome.sort	0.38483373873332694	0.3292914021125822	0.22164829095384517	0.5480191865128087	0.15386051139752027	0.504722292827644
7-111-R.toTranscriptome.sort	0.5192772122115921	0.2543115538559779	0.3580489813545847	0.6805054430685995	0.11140580169046335	0.3972173060214925
7-111-R.toTranscriptome.sort	0.5482210937629638	0.31066154113385697	0.3494549025525382	0.7469872849733894	0.15412564247236996	0.467197439795344
7-111-R.toTranscriptome.sort	0.3589726374655333	0.19252417198736554	0.22462303046421636	0.49332224446685025	0.046679729750887494	0.33836861422384357
7-111-R.toTranscriptome.sort	0.40932471543064153	0.17170721418865148	0.2719940460089266	0.5466553848523564	0.03829878200231915	0.3051156463749838
7-111-R.toTranscriptome.sort	0.3329402706264298	0.13554089621631515	0.20704828177770934	0.4588322594751502	0.04609715616598259	0.22498463626664772
7-111-R.toTranscriptome.sort	0.26837315024260056	0.19408551849497463	0.16408661417136397	0.37265968631383717	0.078736373724575	0.3094346632653743
7-111-R.toTranscriptome.sort	0.47320677352923113	0.17587726946452412	0.28771540757859004	0.6586981394798722	0.05862108697506757	0.29313345195398066
7-111-R.toTranscriptome.sort	0.47149411781613215	0.24903797705651506	0.3113964322566196	0.6315918033756447	0.1076596693476819	0.39041628476534823
7-111-R.toTranscriptome.sort	0.5204760712107613	0.17367273009590675	0.3152455513696516	0.7257065910518711	0.07017980964887287	0.2771656505429406
